0417182848
Bag = 1 , Depth = 1794 , Pressure = 2.54292 , Temperature = 18.4905
Bag = 2 , Depth = 1800 , Pressure = 2.55142 , Temperature = 18.7836
Bag = 3 , Depth = 1791 , Pressure = 2.53889 , Temperature = 20.9331
Bag = 4 , Depth = 1778 , Pressure = 2.52035 , Temperature = 21.0308
Bag = 5 , Depth = 1785 , Pressure = 2.52956 , Temperature = 20.4446
Bag = 6 , Depth = 1774 , Pressure = 2.51526 , Temperature = 20.8354
Bag = 7 , Depth = 1790 , Pressure = 2.53727 , Temperature = 20.5423
Bag = 8 , Depth = 1785 , Pressure = 2.53017 , Temperature = 21.1285
Bag = 9 , Depth = 1779 , Pressure = 2.52188 , Temperature = 24.255
Bag = 10 , Depth = 1787 , Pressure = 2.53275 , Temperature = 20.64
Bag = 11 , Depth = 1782 , Pressure = 2.52537 , Temperature = 20.5423
Bag = 12 , Depth = 1782 , Pressure = 2.52628 , Temperature = 20.3468
Bag = 13 , Depth = 1780 , Pressure = 2.5226 , Temperature = 20.64
Bag = 14 , Depth = 1790 , Pressure = 2.53761 , Temperature = 20.2491
Bag = 15 , Depth = 1782 , Pressure = 2.52646 , Temperature = 20.3468
Bag = 16 , Depth = 1788 , Pressure = 2.53458 , Temperature = 20.64
Bag = 17 , Depth = 1781 , Pressure = 2.52451 , Temperature = 20.1514
Bag = 18 , Depth = 1792 , Pressure = 2.54084 , Temperature = 20.9331
Bag = 19 , Depth = 1794 , Pressure = 2.54351 , Temperature = 21.0308
Bag = 20 , Depth = 1792 , Pressure = 2.54004 , Temperature = 21.4216
Bag = 21 , Depth = 1791 , Pressure = 2.53935 , Temperature = 20.9331
Bag = 22 , Depth = 1786 , Pressure = 2.5322 , Temperature = 20.3468
Bag = 23 , Depth = 1790 , Pressure = 2.53788 , Temperature = 20.4446
Bag = 24 , Depth = 1826 , Pressure = 2.58825 , Temperature = 21.7147
Bag = 25 , Depth = 1773 , Pressure = 2.51331 , Temperature = 20.5423
Bag = 26 , Depth = 1922 , Pressure = 2.72473 , Temperature = 20.9331
Bag = 27 , Depth = 1781 , Pressure = 2.52474 , Temperature = 21.4216
Bag = 28 , Depth = 1806 , Pressure = 2.55947 , Temperature = 21.3239
Bag = 29 , Depth = 1800 , Pressure = 2.55217 , Temperature = 20.8354
Bag = 30 , Depth = 1797 , Pressure = 2.54673 , Temperature = 20.7377
Bag = 31 , Depth = 1787 , Pressure = 2.53279 , Temperature = 21.1285
Bag = 32 , Depth = 1788 , Pressure = 2.53508 , Temperature = 21.2262
Bag = 33 , Depth = 1799 , Pressure = 2.55055 , Temperature = 23.8642
Bag = 34 , Depth = 1778 , Pressure = 2.52016 , Temperature = 20.9331
Bag = 35 , Depth = 1795 , Pressure = 2.54507 , Temperature = 19.6629
Bag = 36 , Depth = 1790 , Pressure = 2.5374 , Temperature = 19.8583
Bag = 37 , Depth = 1792 , Pressure = 2.53954 , Temperature = 20.7377
Bag = 38 , Depth = 1785 , Pressure = 2.53084 , Temperature = 21.2262
Bag = 39 , Depth = 1790 , Pressure = 2.53756 , Temperature = 20.9331
Bag = 40 , Depth = 1794 , Pressure = 2.54273 , Temperature = 20.5423
Bag = 41 , Depth = 1794 , Pressure = 2.54273 , Temperature = 20.4446
Bag = 42 , Depth = 1797 , Pressure = 2.54726 , Temperature = 20.2491
Bag = 43 , Depth = 1777 , Pressure = 2.51951 , Temperature = 20.8354
Bag = 44 , Depth = 1789 , Pressure = 2.53576 , Temperature = 19.956
Bag = 45 , Depth = 1787 , Pressure = 2.53264 , Temperature = 19.8583
Bag = 46 , Depth = 1794 , Pressure = 2.54343 , Temperature = 20.2491
Bag = 47 , Depth = 1784 , Pressure = 2.52855 , Temperature = 20.2491
Bag = 48 , Depth = 1785 , Pressure = 2.53082 , Temperature = 20.4446
Bag = 49 , Depth = 1775 , Pressure = 2.51637 , Temperature = 19.0767
